"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"844","2015-01-01 14:33:02","2015-01-01 14:47:06","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","51","Washington St. at Lenox St.","42.3348756","-71.0790969","1072","Subscriber",\N,"0"
"2140","2015-01-01 14:36:07","2015-01-01 15:11:48","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","488","Subscriber",\N,"0"
"1788","2015-01-01 14:41:16","2015-01-01 15:11:04","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","990","Subscriber","1992","2"
"823","2015-01-01 14:46:53","2015-01-01 15:00:36","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","673","Subscriber",\N,"0"
"786","2015-01-01 14:46:56","2015-01-01 15:00:02","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","182","Subscriber","1989","2"
"387","2015-01-01 14:47:47","2015-01-01 14:54:14","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","1289","Customer","1962","2"
"333","2015-01-01 14:48:02","2015-01-01 14:53:35","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","913","Subscriber","1981","1"
"584","2015-01-01 14:57:23","2015-01-01 15:07:07","115","Porter Square Station","42.387995","-71.119084","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","742","Subscriber","1991","1"
"503","2015-01-01 14:57:51","2015-01-01 15:06:14","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","664","Customer","1977","1"
"472","2015-01-01 14:58:28","2015-01-01 15:06:21","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","644","Subscriber","1977","2"
"442","2015-01-01 14:58:37","2015-01-01 15:05:59","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","966","Customer","1973","1"
"453","2015-01-01 14:58:50","2015-01-01 15:06:23","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","661","Customer","1986","2"
"458","2015-01-01 14:58:54","2015-01-01 15:06:32","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","442","Subscriber","1991","2"
"219","2015-01-01 15:03:39","2015-01-01 15:07:18","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","517","Customer","1987","1"
"761","2015-01-01 15:07:21","2015-01-01 15:20:03","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","513","Customer","1946","1"
